,time,thscode,ths_the_new_csrc_industry_stock,ths_china_securities_industry_stock,ths_avg_held_num_growth_q_stock,ths_avg_held_num_growth_6m_stock,ths_total_current_assets_stock,ths_sq_operating_total_revenue_stock,ths_sq_np_stock,ths_total_profit_to_oi_ttm_stock,ths_avg_price_stock,ths_vol_stock,ths_inflow_vol_stock,ths_outflow_vol_stock,ths_the_amac_index_stock,ths_ygzs_new_stock,ths_sm_num_stock,ths_techcore_num_stock,ths_total_shares_stock,ths_total_float_shares_stock,ths_float_ashare_to_total_shares_stock,ths_hk_listed_stock_ratio_stock,ths_overseas_listed_shares_ratio_stock,ths_top10_hlolder_held_ratio_stock,ths_top10_float_hlolder_held_ratio_stock,ths_qfii_held_ratio_stock,ths_fund_held_ratio_stock,ths_broker_held_ratio_stock,ths_accum_pledge_num_ratio_stock,ths_eps_basic_stock,ths_nav_ps_stock,ths_roe_avg_by_ths_stock,ths_net_interest_of_ta_stock,ths_gross_selling_rate_stock,ths_np_to_revenue_stock,ths_rad_cost_to_revenue_stock,ths_bisic_eps_yoy_stock,ths_operating_revenue_yoy_stock,ths_np_yoy_stock,ths_net_assets_yoy_stock,ths_rad_amt_yoy_stock,ths_asset_liab_ratio_stock,ths_current_asset_turnover_stock,ths_fixed_asset_turnover_ratio_stock,ths_operating_capital_turnover_stock,ths_dividend_benchmark_shares_stock,ths_dividend_ps_before_tax_stock,ths_dividend_ratio_stock,ths_turnover_ratio_stock,ths_net_infow_stock,ths_main_inflow_rate_stock,ths_int_illegality_num_stock,ths_int_illegality_amt_stock,ths_float_holder_held_mv_stock,ths_org_holder_type_stock,ths_fixed_asset_sum_pit_stock,ths_total_revenue_growth_ny_stock,ths_operating_profit_growth_ny_stock,ths_net_profit_growth_ny_stock,ths_total_assets_growth_ny_stock,ths_holder_equity_growth_ny_stock,ths_net_asset_yield_growth_ny_stock,ths_open_price_stock,ths_close_price_stock,ths_low_stock,ths_high_price_stock,year,ths_latest_subject_rating_stock,ths_revenue_pp_stock,ths_sm_annual_total_salary_stock,ths_postgraduate_num_ratio_stock,ths_tech_num_ratio_stock,ths_manage_staff_ratio_stock,mean_score,std_score,quater_score,quater3_score
10,2018-12-17,300750.SZ,制造业,,,,,,,17.043422065523,78.779330335389,6864481.0,441900.0,1229572.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.1598062255725,-861342.0,-12.547809513931,,,560158400.64,一般法人,,,,,,,,78.8,80.16,77.0,80.49,2018,Baa1,,1835.95,5.5758793969849,16.952763819095,16.884422110553,,,,
11,2018-12-18,300750.SZ,制造业,,,,,,,17.043422065523,79.58723966138,4885589.0,517200.0,738961.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.2488975550793,-301325.0,-6.1676289184375,,,555895718.2,一般法人,,,,,,,,79.0,79.55,78.68,80.59,2018,Baa1,,1835.95,5.5758793969849,16.952763819095,16.884422110553,,,,
12,2018-12-19,300750.SZ,制造业,,,,,,,17.043422065523,80.049389201756,7092653.0,1070550.0,1072559.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.2648366431818,-101599.0,-1.4324541183673,,,555546318.0,一般法人,,,,,,,,79.16,79.5,78.34,81.7,2018,Baa1,,1835.95,5.5758793969849,16.952763819095,16.884422110553,,,,
13,2018-12-20,300750.SZ,制造业,,,,,,,17.043422065523,77.484821153381,9773738.0,1317289.0,1988669.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.4989735100897,-992499.0,-10.154753483263,,,540452229.36,一般法人,,,,,,,,79.38,77.34,76.23,79.39,2018,Baa1,,1835.95,5.5758793969849,16.952763819095,16.884422110553,,,,
14,2018-12-21,300750.SZ,制造业,,,,,,,17.043422065523,76.842732823116,8873743.0,1943235.0,2237389.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0846945858733,-295049.0,-3.3249667023262,,,548558314.0,一般法人,,,,,,,,77.54,78.5,75.6,78.5,2018,Baa1,,1835.95,5.5758793969849,16.952763819095,16.884422110553,,,,
15,2018-12-24,300750.SZ,制造业,,,,,,,17.043422065523,78.115980819704,5938803.0,942354.0,941046.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.7337050961097,-192328.0,-3.2384977242047,,,545273952.12,一般法人,,,,,,,,77.68,78.03,77.01,79.24,2018,Baa1,,1835.95,5.5758793969849,16.952763819095,16.884422110553,,,,
16,2018-12-25,300750.SZ,制造业,,,,,,,17.043422065523,76.646555525806,6588306.0,1324607.0,1404803.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0326794283175,-132639.0,-2.0132489292392,,,539473908.8,一般法人,,,,,,,,77.04,77.2,75.65,77.74,2018,Baa1,,1835.95,5.5758793969849,16.952763819095,16.884422110553,,,,
17,2018-12-26,300750.SZ,制造业,,,,,,,17.043422065523,76.486164822644,4925282.0,500982.0,761614.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.2671687380736,-724606.0,-14.71196979178,,,530389503.6,一般法人,,,,,,,,77.2,75.9,75.53,77.9,2018,Baa1,,1835.95,5.5758793969849,16.952763819095,16.884422110553,,,,
18,2018-12-27,300750.SZ,制造业,,,,,,,17.043422065523,76.465198555927,4881471.0,867188.0,901011.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.2470019883151,35803.0,0.73344694662736,,,529550943.12,一般法人,,,,,,,,77.2,75.78,75.78,77.48,2018,Baa1,,1835.95,5.5758793969849,16.952763819095,16.884422110553,,,,
19,2018-12-28,300750.SZ,制造业,,,,,,,17.043422065523,75.33738765755,5629239.0,940461.0,1716802.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.5912089256909,-967796.0,-17.192306100345,,,515714695.2,一般法人,,,,,,,,75.69,73.8,73.8,76.62,2018,Baa1,,1835.95,5.5758793969849,16.952763819095,16.884422110553,,,,
